Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00       70     0.00     0.00  Teuchos::RCPNodeTmpl<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Teuchos::DeallocDelete<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> > >::~RCPNodeTmpl()
  0.00      0.07     0.00       63     0.00     0.00  std::_Rb_tree<std::string const, std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> > >, std::less<std::string const>, std::allocator<std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> > > >::find(std::string const&) const
  0.00      0.07     0.00       58     0.00     0.00  Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const>::operator=(Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const> const&)
  0.00      0.07     0.00       57     0.00     0.00  Tpetra::DistObject<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>::getMap() const
  0.00      0.07     0.00       49     0.00     0.00  MueLu::VariableContainer::Data<Teuchos::RCP<Xpetra::Matrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::type() const
  0.00      0.07     0.00       42     0.00     0.00  bool& Teuchos::any_cast<bool>(Teuchos::any&)
  0.00      0.07     0.00       42     0.00     0.00  void Teuchos::ParameterList::validateEntryType<bool>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const
  0.00      0.07     0.00       40     0.00     0.00  void std::deque<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry>, std::allocator<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry> > >::_M_push_back_aux<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry> >(Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry>&&)
  0.00      0.07     0.00       39     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::_M_get_insert_unique_pos(std::string const&)
  0.00      0.07     0.00       37     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::CloneView(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<int, std::allocator<int> > const&)
