Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00      501     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::find(std::string const&) const (stl_tree.h:1923 @ 4d6f10)
  0.00      0.07     0.00      479     0.00     0.00  Teuchos::StringIndexedOrderedValueObjectContainer<Teuchos::ParameterEntry>::setObj(std::string const&, Teuchos::ParameterEntry const&) (Teuchos_StringIndexedOrderedValueObjectContainer.hpp:474 @ 4d9ec0)
  0.00      0.07     0.00      425     0.00     0.00  Teuchos::any::holder<int>::clone() const (Teuchos_any.hpp:208 @ 489920)
  0.00      0.07     0.00      409     0.00     0.00  Teuchos::any::holder<bool>::type() const (Teuchos_any.hpp:202 @ 486040)
  0.00      0.07     0.00      404     0.00     0.00  Teuchos::TimeMonitorSurrogateImplInserter::TimeMonitorSurrogateImplInserter() (Teuchos_TimeMonitor.hpp:783 @ 4a22c0)
  0.00      0.07     0.00      391     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<std::string const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::piecewise_construct_t const&, std::tuple<std::string const&>&&, std::tuple<>&&) (stl_tree.h:1787 @ 4d9ae0)
  0.00      0.07     0.00      367     0.00     0.00  Teuchos::any::holder<bool>::~holder() (Teuchos_any.hpp:194 @ 489af0)
  0.00      0.07     0.00      318     0.00     0.00  Teuchos::any::holder<bool>::clone() const (Teuchos_any.hpp:208 @ 4898e0)
  0.00      0.07     0.00      317     0.00     0.00  Teuchos::any::holder<std::string>::~holder() (Teuchos_any.hpp:194 @ 492970)
  0.00      0.07     0.00      278     0.00     0.00  Teuchos::any::holder<std::string>::clone() const (Teuchos_any.hpp:208 @ 48a430)
  0.00      0.07     0.00      250     0.00     0.00  Teuchos::any::holder<double>::type() const (Teuchos_any.hpp:202 @ 485e40)
  0.00      0.07     0.00      234     0.00     0.00  Teuchos::any::holder<int>::type() const (Teuchos_any.hpp:202 @ 485f00)
  0.00      0.07     0.00      223     0.00     0.00  Teuchos::any::holder<double>::~holder() (Teuchos_any.hpp:194 @ 489ad0)
  0.00      0.07     0.00      199     0.00     0.00  Teuchos::any::holder<double>::clone() const (Teuchos_any.hpp:208 @ 489960)
  0.00      0.07     0.00      198     0.00     0.00  Teuchos::StringIndexedOrderedValueObjectContainer<Teuchos::ParameterEntry>::getNonconstKeyAndObject(long) (Teuchos_StringIndexedOrderedValueObjectContainer.hpp:530 @ 4d3340)
  0.00      0.07     0.00      188     0.00     0.00  Teuchos::StringIndexedOrderedValueObjectContainer<Teuchos::ParameterEntry>::getKeyAndObject(long) const (Teuchos_StringIndexedOrderedValueObjectContainer.hpp:544 @ 4d37d0)
  0.00      0.07     0.00      181     0.00     0.00  Teuchos::any::holder<std::string>::type() const (Teuchos_any.hpp:202 @ 4860e0)
  0.00      0.07     0.00      144     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::writeChars(char const*, long) (Teuchos_FancyOStream.hpp:1159 @ 52a2c0)
  0.00      0.07     0.00       98     0.00     0.00  MueLu::Level::Get(MueLu::FactoryBase const*, std::string const&) const (MueLu_Level.hpp:457 @ 4a2500)
  0.00      0.07     0.00       70     0.00     0.00  Teuchos::RCPNodeTmpl<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Teuchos::DeallocDelete<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> > >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48a8c0)
  0.00      0.07     0.00       70     0.00     0.00  Teuchos::RCPNodeTmpl<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Teuchos::DeallocDelete<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> > >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d2ad0)
  0.00      0.07     0.00       63     0.00     0.00  std::_Rb_tree<std::string const, std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> > >, std::less<std::string const>, std::allocator<std::pair<std::string const, Teuchos::RCP<MueLu::VariableContainer> > > >::find(std::string const&) const (stl_tree.h:1923 @ 4d5900)
  0.00      0.07     0.00       58     0.00     0.00  Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const>::operator=(Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const> const&) (Teuchos_RCP.hpp:301 @ 4d5e50)
  0.00      0.07     0.00       57     0.00     0.00  Tpetra::DistObject<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>::getMap() const (Tpetra_DistObject_decl.hpp:345 @ 485570)
  0.00      0.07     0.00       49     0.00     0.00  MueLu::VariableContainer::Data<Teuchos::RCP<Xpetra::Matrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::type() const (MueLu_VariableContainer.hpp:87 @ 485a30)
  0.00      0.07     0.00       42     0.00     0.00  bool& Teuchos::any_cast<bool>(Teuchos::any&) (Teuchos_any.hpp:265 @ 4e6040)
  0.00      0.07     0.00       42     0.00     0.00  void Teuchos::ParameterList::validateEntryType<bool>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const (Teuchos_ParameterList.hpp:1132 @ 4d3f90)
  0.00      0.07     0.00       40     0.00     0.00  void std::deque<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry>, std::allocator<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry> > >::_M_push_back_aux<Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry> >(Teuchos::StringIndexedOrderedValueObjectContainerBase::KeyObjectPair<Teuchos::ParameterEntry>&&) (deque.tcc:443 @ 4d85d0)
  0.00      0.07     0.00       39     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::_M_get_insert_unique_pos(std::string const&) (stl_tree.h:1435 @ 4d9980)
  0.00      0.07     0.00       37     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::CloneView(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<int, std::allocator<int> > const&) (BelosTpetraAdapter.hpp:286 @ 524290)
  0.00      0.07     0.00       37     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::writeFrontMatter() (Teuchos_FancyOStream.hpp:1205 @ 52a010)
  0.00      0.07     0.00       37     0.00     0.00  MueLu::Level::IsAvailable(std::string const&, MueLu::FactoryBase const*) const (MueLu_Level.hpp:315 @ 4a2920)
  0.00      0.07     0.00       35     0.00     0.00  bool& Teuchos::ParameterList::get<bool>(std::string const&) (Teuchos_ParameterList.hpp:925 @ 4e67f0)
  0.00      0.07     0.00       34     0.00     0.00  Teuchos::RCPNodeTmpl<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >, Teuchos::DeallocDelete<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d0cc0)
  0.00      0.07     0.00       26     0.00     0.00  std::string& Teuchos::any_cast<std::string>(Teuchos::any&) (Teuchos_any.hpp:265 @ 4e5120)
  0.00      0.07     0.00       26     0.00     0.00  Teuchos::MpiComm<int>::getRank() const (Teuchos_DefaultMpiComm.hpp:946 @ 486f10)
  0.00      0.07     0.00       24     0.00     0.00  MueLu::VariableContainer::Getter<Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::get(MueLu::VariableContainer::DataBase*, MueLu::VariableContainer::DataBase*&) (MueLu_VariableContainer.hpp:242 @ 4ebff0)
  0.00      0.07     0.00       24     0.00     0.00  Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >& MueLu::Level::Get<Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >(std::string const&, MueLu::FactoryBase const*) (MueLu_Level.hpp:191 @ 4efe50)
  0.00      0.07     0.00       24     0.00     0.00  Teuchos::basic_OSTab<char, std::char_traits<char> >::~basic_OSTab() (Teuchos_FancyOStream.hpp:705 @ 4e4ea0)
  0.00      0.07     0.00       23     0.00     0.00  int& Teuchos::any_cast<int>(Teuchos::any&) (Teuchos_any.hpp:265 @ 4e6f70)
  0.00      0.07     0.00       22     0.00     0.00  double& Teuchos::any_cast<double>(Teuchos::any&) (Teuchos_any.hpp:265 @ 4e90b0)
  0.00      0.07     0.00       21     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::ParameterList, Teuchos::DeallocDelete<Teuchos::ParameterList> >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48abe0)
  0.00      0.07     0.00       21     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::ParameterList, Teuchos::DeallocDelete<Teuchos::ParameterList> >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d11a0)
  0.00      0.07     0.00       21     0.00     0.00  void Teuchos::ParameterList::validateEntryType<double>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const (Teuchos_ParameterList.hpp:1132 @ 4d60a0)
  0.00      0.07     0.00       19     0.00     0.00  Teuchos::ParameterEntry::~ParameterEntry() (Teuchos_ParameterEntry.hpp:67 @ 4a23f0)
  0.00      0.07     0.00       19     0.00     0.00  Teuchos::MpiComm<int>::getSize() const (Teuchos_DefaultMpiComm.hpp:953 @ 486f20)
  0.00      0.07     0.00       18     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2421 @ 4d5de0)
  0.00      0.07     0.00       18     0.00     0.00  xmlfltc_ (CWrapper_tpetra.cpp:502 @ 483530)
  0.00      0.07     0.00       17     0.00     0.00  Teuchos::RCPNodeTmpl<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >, Teuchos::DeallocDelete<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 4945e0)
  0.00      0.07     0.00       14     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<bool>(std::string const&, bool const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&) (Teuchos_ParameterList.hpp:830 @ 4da840)
  0.00      0.07     0.00       14     0.00     0.00  Xpetra::CrsMatrixWrap<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getDomainMap() const (Xpetra_CrsMatrixWrap.hpp:500 @ 486aa0)
  0.00      0.07     0.00       14     0.00     0.00  Xpetra::TpetraCrsMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getDomainMap() const (Xpetra_TpetraCrsMatrix.hpp:411 @ 4995b0)
